sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2024-03-25_18:11:24_874 CET
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,886546881,-0.577381,0.833098,120.532089,0.002496,-0.004901,0.516185,-0.034298,-0.041075,0.026961
2,886563548,-0.562597,0.844677,120.519684,0.004677,0.000934,0.510784,0.857264,0.495241,1.249266
3,886580215,-0.551584,0.855273,120.528786,0.008589,0.008239,0.538848,0.772959,0.488095,1.225843
4,886596882,-0.542827,0.863296,120.531555,0.006474,0.006186,0.522942,0.825427,0.457629,1.241928
5,886613549,-0.534495,0.870943,120.512062,0.008578,0.014289,0.505388,0.828603,0.474712,1.219260
6,886630216,-0.527391,0.876844,120.531067,-0.001778,0.014059,0.513686,0.826759,0.467246,1.280206
7,886646883,-0.519130,0.880760,120.541817,0.005650,0.013633,0.506298,0.791900,0.432899,1.322134
8,886663550,-0.510410,0.884499,120.546623,0.010202,0.016594,0.515030,0.814016,0.427329,1.231017
9,886680217,-0.501621,0.888867,120.531898,0.021259,0.022047,0.496478,0.824915,0.452147,1.277837
10,886696884,-0.494359,0.893431,120.534996,-0.006210,0.009771,0.518144,0.815796,0.458218,1.169585
11,886713551,-0.484655,0.897828,120.546173,-0.010748,0.031529,0.506266,0.832125,0.435409,1.247166
12,886730218,-0.472980,0.901750,120.571449,0.011178,0.009431,0.514785,0.914111,0.487480,1.232477
13,886746885,-0.462057,0.906259,120.584381,0.019199,0.016932,0.522573,0.855048,0.463366,1.150836
14,886763552,-0.451774,0.911937,120.605354,0.007215,0.014356,0.518509,0.828424,0.496918,1.276479
15,886780219,-0.440515,0.916221,120.600258,0.012699,0.023678,0.519334,0.873143,0.400896,1.192585
16,886796886,-0.429955,0.919840,120.598167,0.006562,0.031111,0.502798,0.832931,0.358149,1.264864
17,886813553,-0.419141,0.924315,120.594749,0.003766,0.031911,0.517694,0.856495,0.431235,1.156868
18,886830220,-0.407749,0.928203,120.621948,0.013626,0.023449,0.521451,0.871939,0.399091,1.234423
19,886846887,-0.397345,0.933460,120.636017,0.018653,0.032321,0.508314,0.808497,0.468808,1.239161
20,886863554,-0.387736,0.937668,120.651428,0.034655,0.030613,0.518521,0.776750,0.408798,1.211615
21,886880221,-0.377399,0.941859,120.639572,0.024436,0.018989,0.507811,0.833162,0.388500,1.175604
22,886896888,-0.367606,0.947201,120.650688,0.031010,0.033120,0.525307,0.803566,0.443695,1.241877
23,886913555,-0.356516,0.953272,120.667030,0.029607,0.032310,0.515282,0.877434,0.474917,1.279169
24,886930222,-0.347002,0.958188,120.655701,0.022778,0.044209,0.512868,0.794269,0.404124,1.232746
25,886946889,-0.337082,0.963914,120.668144,0.014367,0.033265,0.517947,0.821252,0.459293,1.259216
26,886963556,-0.327835,0.969627,120.676033,0.029798,0.041306,0.513649,0.768477,0.457347,1.220989
27,886980223,-0.317917,0.974452,120.666260,0.030169,0.038288,0.520605,0.814593,0.404738,1.207453
28,886996890,-0.307221,0.979859,120.668518,0.014500,0.035970,0.519194,0.857110,0.434295,1.211487
29,887013557,-0.295951,0.985337,120.685905,0.030064,0.045547,0.519065,0.882863,0.439533,1.249330
30,887030224,-0.285559,0.990495,120.694809,0.045369,0.046168,0.524918,0.831331,0.420388,1.277440
31,887046891,-0.275139,0.995232,120.679924,0.041771,0.045726,0.509347,0.837555,0.389973,1.204354
32,887063558,-0.265163,1.000064,120.684906,0.035314,0.044815,0.514132,0.824505,0.397528,1.233962
33,887080225,-0.254787,1.005745,120.698730,0.050447,0.054378,0.498856,0.844329,0.445181,1.234090
34,887096892,-0.244028,1.010895,120.706345,0.035281,0.045780,0.515400,0.885181,0.416443,1.179138
35,887113559,-0.233750,1.016096,120.719727,0.036567,0.059832,0.515124,0.840987,0.412371,1.222962
36,887130226,-0.224266,1.021950,120.729385,0.035328,0.064137,0.513261,0.794423,0.454504,1.197195
37,887146893,-0.213021,1.028022,120.728523,0.039314,0.062951,0.510773,0.900971,0.471908,1.218582
38,887163560,-0.202537,1.034047,120.724403,0.041513,0.061846,0.511934,0.857340,0.471408,1.240173
39,887180227,-0.192587,1.040372,120.718880,0.032358,0.071998,0.518456,0.824326,0.490080,1.243887
40,887196894,-0.181928,1.045906,120.718773,0.028380,0.066626,0.507541,0.862207,0.444899,1.193763
41,887213561,-0.172442,1.050724,120.724960,0.058725,0.076461,0.520850,0.796241,0.408363,1.199910
42,887230228,-0.162436,1.055919,120.739540,0.039538,0.075469,0.509789,0.821854,0.426714,1.267848
43,887246895,-0.151649,1.061089,120.751991,0.056391,0.066104,0.526409,0.876896,0.431516,1.243772
44,887263562,-0.141806,1.065915,120.755318,0.031998,0.087522,0.510257,0.810917,0.403675,1.214535
45,887280229,-0.130410,1.069975,120.765152,0.045815,0.075522,0.511043,0.913535,0.368279,1.258346
46,887296896,-0.120977,1.076326,120.781502,0.049581,0.081604,0.505822,0.795037,0.505729,1.259524
47,887313563,-0.111179,1.081592,120.787857,0.057607,0.078283,0.515318,0.822033,0.443746,1.219542
48,887330230,-0.101765,1.086382,120.790726,0.052846,0.078085,0.520669,0.793821,0.411052,1.208388
49,887346897,-0.091165,1.092177,120.797951,0.048312,0.085573,0.505811,0.859863,0.469257,1.297136
50,887363564,-0.081289,1.096733,120.808250,0.054410,0.088481,0.525264,0.827937,0.401652,1.246141
51,887380231,-0.071548,1.101457,120.818657,0.053349,0.073102,0.524656,0.807139,0.405686,1.231721
52,887396898,-0.060421,1.106765,120.825188,0.052126,0.095270,0.510971,0.891687,0.439853,1.156164
53,887413565,-0.049260,1.114067,120.836487,0.053617,0.083459,0.509150,0.902521,0.566162,1.224473
54,887430232,-0.039395,1.119291,120.842400,0.057391,0.083224,0.500989,0.825478,0.441992,1.230223
55,887446899,-0.028428,1.125436,120.844231,0.065002,0.094631,0.527860,0.896310,0.499633,1.264313
56,887463566,-0.018250,1.129501,120.841568,0.048948,0.093776,0.522706,0.833034,0.365615,1.171147
57,887480233,-0.007935,1.135903,120.845116,0.058498,0.084505,0.516966,0.843279,0.508905,1.233616
58,887496900,0.002533,1.141346,120.847740,0.059492,0.093632,0.535616,0.855458,0.452941,1.259408
59,887513567,0.013362,1.145906,120.853615,0.058154,0.095153,0.523289,0.865139,0.393955,1.247678
60,887530234,0.022534,1.150997,120.861374,0.072904,0.100647,0.515220,0.773740,0.430607,1.275416
61,887546901,0.032881,1.155839,120.868858,0.071381,0.108280,0.511197,0.852448,0.418544,1.233079
62,887563568,0.042947,1.160620,120.868790,0.061654,0.113729,0.529295,0.840487,0.417224,1.213818
63,887580235,0.052248,1.165874,120.876411,0.057250,0.104069,0.526661,0.781424,0.441070,1.280629
