person_name,grasping_exploratory,grasping_performance,grasping_double,gender,time_1,time_2,time_3,mean_jerk_x,mean_jerk_y,mean_jerk_z,mean_jerk_vector,mean_jerk_1_x,mean_jerk_2_x,mean_jerk_3_x,mean_jerk_1_y,mean_jerk_2_y,mean_jerk_3_y,mean_jerk_1_z,mean_jerk_2_z,mean_jerk_3_z,mean_jerk_1_vector,mean_jerk_2_vector,mean_jerk_3_vector,pos_peaks_1,neg_peaks_1,pos_peaks_2,neg_peaks_2,pos_peaks_3,neg_peaks_3,pos_peaks_climb,neg_peaks_climb,pos_peaks,neg_peaks,peaks_all,time,height,level,experience,training,age
p1,2,21,2,1,20.2,17.875,23.008333333333333,5801052.197895302,1672166.671992668,5713121.568999025,4946886.370276449,1634183.9564596126,1876921.2903677162,2287591.6855279906,394587.71663383226,749927.2432129113,527475.5220733967,1500130.3883900694,1785762.8526034746,2426189.525946918,1338383.4714333534,1695009.5557800804,1913108.5188495289,17,24,18,18,22,23,47,54,57,65,101,61.075,173,13,12.0,1.0,28
p2,7,21,3,0,22.875,27.158333333333335,28.258333333333333,22458429.439075667,15158533.252063932,16744413.447556086,21073609.603408415,5851693.525128008,6933710.939390352,9672896.252818255,4738927.198199988,5314490.427166395,5104445.31506189,5596469.708764564,5281049.090832958,5866546.1292075785,6598985.9797747005,6790773.964971034,7683128.453715508,28,45,42,44,41,38,103,122,111,127,225,78.28333333333333,171,13,4.0,1.5,26
p3,2,21,2,0,25.233333333333334,28.3,29.591666666666665,2981233.9229239826,3018579.347466126,9116930.66296447,7393260.364379929,536775.2194030415,771782.4536264563,1671233.9827643705,498086.39328296704,869604.4958520975,1650768.233131467,1524248.178324583,2135663.51080027,5455866.310479021,1451779.789495234,1931575.2479016765,4008500.0357676814,25,22,36,36,16,21,33,36,77,79,69,83.11666666666666,168,13,5.0,1.5,26
p4,1,19,2,1,14.758333333333333,16.916666666666668,12.408333333333333,793672.4487803867,626330.7823017372,1101096.8563387368,931081.4012768551,266969.0455532328,318684.60572664026,207588.3091194612,140574.27427153537,284632.64542725537,200278.24676064745,320685.4659717556,435792.81301281054,343881.5641285575,258209.39050155337,409645.86457130045,262848.46547961014,35,28,21,19,36,38,53,51,92,85,104,44.075,176,17,13.0,1.5,27
p5,1,20,3,0,17.633333333333333,18.225,26.175,15016524.929865569,12793300.670083934,9383191.287292337,12916260.139757127,4556435.633342169,4381249.234083775,6070537.238258567,3686081.082311622,4115545.429692108,4981781.325673476,3010778.6039777496,2989960.680820343,3368021.5418690788,3990618.1257211994,3974532.542398461,4945407.639072877,32,38,42,46,59,58,106,117,133,142,223,62.025,179,19,13.0,2.5,24
p6,2,19,2,0,18.858333333333334,21.416666666666668,25.641666666666666,12782950.916410683,15086743.334879994,16909212.604892876,15109293.951663928,4292006.401530855,3818964.017744382,4665573.473589779,4122080.9930806304,5293433.502721027,5661811.677448129,5010957.021998699,5728067.545205111,6151309.7541675065,4871192.016342714,4714204.5410362035,5514118.105474357,30,35,41,49,47,48,107,108,118,132,215,65.90833333333333,170,17,10.0,4.0,23
p7,5,21,3,0,24.833333333333332,33.24166666666667,24.083333333333332,1788105.821615027,10035368.325482497,5284716.603433643,10492609.190673131,383005.4514931356,596806.8530645821,808151.2767152555,2053492.3357788518,3082606.979364488,4894341.25577849,969590.7234750054,1412065.872671879,2901851.30296228,2218333.1115576453,3428402.22985824,4845062.079314089,18,21,34,36,22,23,45,46,74,80,91,82.15,170,13,16.0,1.0,25
p8,2,18,2,1,15.216666666666667,13.858333333333333,14.083333333333334,555631.912511003,879067.592785304,304428.2477622427,294420.72680712724,171077.79813043048,177934.97163562034,206391.57483745783,302642.7478059609,310296.2773576009,265255.8025273055,107167.14483376665,110054.06234111301,87079.37718180554,102699.32328841621,108692.20294866108,82799.3695981949,10,5,18,13,16,17,30,21,44,35,51,43.15,177,16,19.0,3.0,25
p9,4,20,1,1,20.833333333333332,23.425,28.9,16972284.16757686,13904652.354166234,11804891.640728481,10230839.956917832,4996815.304000659,5032331.869179142,6939029.745400831,3749383.081850397,3638725.3077156036,6514049.518980824,3532456.982231542,4181203.4708093135,4091038.846544009,2997720.5252514863,3391395.9862922183,3839803.1170000304,34,27,25,25,20,22,54,53,79,74,107,73.15,173,16,6.0,2.5,25
p10,4,17,1,1,21.616666666666667,26.7,22.983333333333334,8061072.454867404,7567921.300998063,15887562.332650013,11275281.171350576,2256902.316674676,2625884.4783731,3160129.005320063,2231314.3162834053,2563262.541226442,2767098.1378029995,4174365.2046977086,4854890.297116198,6857919.216503189,3016617.4528400823,3907897.3736884636,4329427.037580794,27,27,22,18,35,45,63,63,84,90,126,71.29166666666667,186,16,1.5,2.0,21
p11,0,19,2,1,21.533333333333335,19.583333333333332,20.383333333333333,878659.8836273957,1268773.162525308,1063953.7819240168,1118620.1479918754,186712.06369570614,450125.9083195666,240820.16779225488,328833.64140670135,535123.9849565098,404201.91860155785,272427.0212073951,494924.4394425189,296033.1026352872,241365.87174914096,584604.4062431237,292454.2907350493,6,8,15,15,22,22,33,34,43,45,67,61.49166666666667,177,15,6.0,1.5,22
p12,1,19,1,0,13.633333333333333,13.2,13.216666666666667,638377.041413371,378180.9388451661,143254.70212157397,113172.75430567267,216531.7231704403,258267.0396062851,162798.58900675288,107041.58663305153,155795.77292637527,115030.3180522063,39958.83530668978,73643.4385560401,29597.756823555854,33287.3450906629,57284.70269264002,22544.439252291442,19,10,6,4,19,20,15,9,44,34,24,40.041666666666664,171,13,26.0,1.0,34
p13,1,19,2,0,13.716666666666667,14.316666666666666,18.116666666666667,808664.4676663452,343528.0503179208,591423.6480337662,644038.0280989299,218096.26141131934,252928.70817188875,337387.00785302935,117901.6607711878,129439.38620850192,95983.4900756227,156439.6594987305,232935.4962520212,201938.1998778421,187568.83105977808,208550.69916058725,247845.5787161355,18,13,7,6,10,8,27,23,35,27,50,46.141666666666666,165,15,10.0,2.0,29
p14,2,21,2,0,31.316666666666666,33.94166666666667,31.858333333333334,29341370.01361429,62621758.18769095,37914815.9754598,25528213.71944065,8389927.241685499,8762628.842315355,12185437.82017064,11925599.86239349,22547116.043510158,28135980.27265174,7660437.375195065,10230949.631653357,20015998.74903117,5626886.398520085,6827272.980541091,13066840.001198612,37,41,23,29,11,11,30,27,71,81,57,97.10833333333333,163,13,5.0,1.0,26
p15,2,20,2,1,18.358333333333334,18.175,23.475,1324696.4993102127,1358478.6199670273,1606621.861409961,1249582.3847090018,356134.04821404925,588642.6379408437,379798.0148483038,275988.0558671746,692913.8625609484,388696.5521496642,336453.17683798337,700584.4513850964,569053.0184674639,264262.67429759674,573700.3136027127,411258.46519972885,24,18,10,13,8,9,22,28,42,40,50,60.0,176,13,10.0,2.5,33
p16,3,19,1,1,17.775,16.483333333333334,24.758333333333333,1626928.2986976302,4043012.6988548934,3489174.421483035,2851261.0471706847,473465.7830094111,520416.7948584886,631474.6348180646,1053446.8137322306,1212980.0657728985,1776048.6016969355,1020248.3244127567,1066595.333771388,1401728.87696659,880062.8202912625,888714.4661764861,1082269.2591452664,16,15,22,20,33,41,50,53,71,76,103,59.00833333333333,169,17,17.0,1.5,34
