cluster;person_name;grasping_exploratory;grasping_performance;grasping_double;gender;time_1;time_2;time_3;mean_jerk_x;mean_jerk_y;mean_jerk_z;mean_jerk_vector;mean_jerk_1_x;mean_jerk_2_x;mean_jerk_3_x;mean_jerk_1_y;mean_jerk_2_y;mean_jerk_3_y;mean_jerk_1_z;mean_jerk_2_z;mean_jerk_3_z;mean_jerk_1_vector;mean_jerk_2_vector;mean_jerk_3_vector;pos_peaks_1;neg_peaks_1;pos_peaks_2;neg_peaks_2;pos_peaks_3;neg_peaks_3;pos_peaks;neg_peaks;time;height;level;experience;training;age
1;p1;2;21;2;1;20.2;17.875;23.00833333;5801052.198;1672166.672;5713121.569;4946886.37;6970567.871;4352940.093;18712166.22;1683103.331;1739224.964;4314672.811;6398765.969;4141526.21;19845876.34;5708838.83;3931051.926;15648948.56;17;24;18;18;22;23;57;65;61.075;173;13;12;1;28
0;p2;7;21;3;0;22.875;27.15833333;28.25833333;22458429.44;15158533.25;16744413.45;21073609.6;13439189.69;37632104.92;63933134.44;10883574.35;28843928.32;33737898.15;12853034.37;28662428.42;38775013.45;15155445.85;36856327.09;50781738.11;28;45;42;44;41;38;111;127;78.28333333;171;13;4;1.5;26
0;p3;2;21;2;0;25.23333333;28.3;29.59166667;2981233.923;3018579.347;9116930.663;7393260.364;1492558.971;3814259.571;10309935.76;1384980.691;4297710.133;10183681.41;4238329.583;10554755.36;33657543.93;4036823.739;9546121.892;24728660.56;25;22;36;36;16;21;77;79;83.11666667;168;13;5;1.5;26
1;p4;1;19;2;1;14.75833333;16.91666667;12.40833333;793672.4488;626330.7823;1101096.856;931081.4013;1210272.488;2866798.675;395160.4469;637276.7912;2560476.647;381245.1762;1453789.506;3920271.756;654605.2286;1170561.631;3685061.031;500352.4404;35;28;21;19;36;38;92;85;44.075;176;17;13;1.5;27
0;p5;1;20;3;0;17.63333333;18.225;26.175;15016524.93;12793300.67;9383191.287;12916260.14;9117184.818;10363955.39;87611078.87;7375651.757;9735426.353;71897958.87;6024407.495;7072827.285;48607889.12;7985014.147;9401856.817;71373007.32;32;38;42;46;59;58;133;142;62.025;179;19;13;2.5;24
0;p6;2;19;2;0;18.85833333;21.41666667;25.64166667;12782950.92;15086743.33;16909212.6;15109293.95;8870319.067;14942630.62;44838653.94;8519133.06;20711853.05;54413035.37;10356179.25;22412465.03;59117373.43;10067325.95;18445478.09;52993621.23;30;35;41;49;47;48;118;132;65.90833333;170;17;10;4;23
0;p7;5;21;3;0;24.83333333;33.24166667;24.08333333;1788105.822;10035368.33;5284716.603;10492609.19;1042406.613;6992519.23;1886731.321;5588886.484;36117528.6;11426458.4;2638886.153;16544544.89;6774738.714;6037525.307;40169057.04;11311409.93;18;21;34;36;22;23;74;80;82.15;170;13;16;1;25
1;p8;2;18;2;1;15.21666667;13.85833333;14.08333333;555631.9125;879067.5928;304428.2478;294420.7268;1004896.934;656653.2295;823102.1531;1777698.641;1145120.887;1057856.273;629491.0058;406144.755;347277.8523;603247.389;401118.9337;330208.9218;10;5;18;13;16;17;44;35;43.15;177;16;19;3;25
0;p9;4;20;1;1;20.83333333;23.425;28.9;16972284.17;13904652.35;11804891.64;10230839.96;10091842.19;18302877.58;72030068.93;7572459.67;13234251.16;67618594.11;7134343.824;15207275.13;42466716.66;6054360.753;12334700.33;39858783.34;34;27;25;25;20;22;79;74;73.15;173;16;6;2.5;25
0;p10;4;17;1;1;21.61666667;26.7;22.98333333;8061072.455;7567921.301;15887562.33;11275281.17;6235180.529;20895936.47;11863486.18;6164488.147;20397611.42;10388003.3;11532586.26;38633641.37;25745414.1;8334057.822;31097779.03;16253164.9;27;27;22;18;35;45;84;90;71.29166667;186;16;1.5;2;21
