person_name;gender;C;mean_jerk_acc_x;mean_jerk_acc_y;mean_jerk_acc_z;mean_jerk_acc_vector;mean_jerk_acc_xz
p1;1;5901397,741415775;14000001,38921176;19960442,12326841;32887655,901862368;24731868,78174963;24698629,03242924
p2;0;20416629,93155224;122071939,94704747;159055063,404401;249069770,99786404;184484811,62497318;170193503,3186183
p3;0;27547240,27513121;273803551,6331185;248696657,66448078;385894182,49489623;270662597,5626172;269065704,1282828
p4;1;1155045,553989329;3479599,301758962;3074556,6173589714;3950196,22395634;3402797,811878464;3339178,2185669052
p5;0;6374870,584380181;31921746,989743344;29430676,86822621;34819220,05935159;30174440,77731736;29893754,737581722
p6;0;8636527,40361807;53282342,376268;40439362,24622914;47664037,38999009;44970803,3734697;44320547,9153479
p7;0;25982165,61765722;136129424,58340412;97229318,5099584;177546449,89264768;131784184,17549779;123532958,03711708
p8;1;1038822,8842893727;4362410,413093995;3882986,0405492345;8091486,176745004;6080006,713016269;6122651,933043978
p9;1;14544847,101483388;90114150,93059158;89257480,02049519;134056691,57193628;110142916,36173384;111723150,56075437
p10;1;12788845,685401183;81531654,96007109;65968440,7730125;75039409,7520954;71071032,02620722;68695257,01397842
p11;1;6105466,172878609;62096049,82059841;51771823,3817639;101097735,11093949;80596995,79107596;75269834,69999851
p12;0;714822,5389059358;3127971,739938859;3680174,360183938;6331398,0429033805;5276279,894090048;5152670,601770195
p13;0;1452459,0443193016;5088168,854383306;4867588,294627417;7749717,47890222;7201991,351879104;7047877,8507408425
p14;0;59968061,45522919;154549271,5999573;166503750,65031847;237810533,5208241;200676886,11803317;193339784,41189986
p15;1;5400000,0;21834129,754440974;22614913,115627907;28093082,101581667;24816719,871989623;22971290,5855022
p16;1;4968259,247820266;16424952,509076284;18096974,662210613;29585507,289792515;23736149,269527264;23150477,22177631
